code,title,session,career,units,delivery_type
LAWS5920,Exchange Program for Law Students,First Semester / Second Semester,Undergraduate,6,In Person
SCNC5920,Exchange Program for Science Students (Band 2),First Semester / Winter Session / Second Semester,Undergraduate,6,In Person
COMP5920,Exchange Program in Computer Science,First Semester / Second Semester,Undergraduate,6,In Person
ENGN5920,Exchange Program in Engineering,Summer Session / First Semester / Autumn Session / Winter Session / Second Semester / Spring Session,Undergraduate,6,In Person
CBEA5921,Exchange – ANU College of Business and Economics _ Bachelor of Social Sciences (Honours),First Semester / Second Semester,Postgraduate,6,In Person
LAWS8241,Executive Power,,Postgraduate,6,Online or In Person
MUSC8018,Exhibition Design and Delivery,Second Semester,Postgraduate,6,In Person
BIOL2202,Experimental Design and Analysis in Biology,Second Semester,Undergraduate,6,In Person
BIOL6202,Experimental Design and Analysis in Biology,Second Semester,Postgraduate,6,In Person
HIST2231,Exploration: From Captain Cook to the Astronauts,First Semester,Undergraduate,6,In Person
BUSI3024,Export Business Planning,Second Semester,Undergraduate,6,In Person
MEDN2222,Exquisite Corpse - Insight into the Human Body,Winter Session,Undergraduate,6,In Person
CLAS3003,Faith and Belief in Ancient Greece and Rome,Second Semester,Undergraduate,6,In Person
LAWS4217,Family Law,Second Semester,Undergraduate,6,Online or In Person
LAWS8417,Family Law,,Postgraduate,6,In Person
ARTH2180,Fashion Histories,,Undergraduate,6,In Person
LAWS4275,Federal Judicial System,Summer Session,Undergraduate,6,In Person
LAWS8275,Federal Judicial System,Summer Session,Postgraduate,6,Online or In Person
ENGL2023,Feeling Bad in Contemporary Literature,First Semester,Undergraduate,6,In Person
LAWS4218,Feminist and Critical Legal Theory,,Undergraduate,6,In Person
LING3012,Field Methods in Linguistics,,Undergraduate,6,In Person
LING6009,Field Methods in Linguistics,,Postgraduate,6,In Person
BIOL2203,Field Studies in Functional Ecology,,Undergraduate,6,In Person
ANTH9902,Fieldwork in the Pacific,Winter Session,Postgraduate,6,Online or In Person
SCRN2003,Film and History: Hollywood and Beyond,,Undergraduate,6,In Person
HONS4100,Final Honours Grade,First Semester / Second Semester,Undergraduate,0,In Person
HONS4601,Final Honours Grade,Summer Session / First Semester / Second Semester,Undergraduate,0,In Person
HONS4602,Final Honours Grade,Summer Session / First Semester / Winter Session / Second Semester,Undergraduate,0,In Person
FINM4500,Finance Honours Thesis,First Semester / Second Semester,Undergraduate,24,In Person
LAWS8596,Financial Crime Law,Winter Session,Postgraduate,6,Online
ECON6037,Financial Economics,Second Semester,Postgraduate,6,In Person
ECON3006,Financial Economics,Second Semester,Undergraduate,6,In Person
ECON8037,Financial Economics,,Postgraduate,6,In Person
ECON4437,Financial Economics,Second Semester,Undergraduate,6,In Person
FINM3006,Financial Intermediation and Debt Markets,First Semester,Undergraduate,6,In Person
LAWS4237,Financial Markets and Takeovers,,Undergraduate,6,In Person
LAWS8437,Financial Markets and Takeovers,,Postgraduate,6,Online or In Person
STAT6046,Financial Mathematics,First Semester / Second Semester,Postgraduate,6,In Person
STAT2032,Financial Mathematics,First Semester / Second Semester,Undergraduate,6,In Person
BUSN3008,Financial Reporting By Corporations,,Undergraduate,6,In Person
BUSN6008,Financial Reporting By Corporations,,Postgraduate,6,In Person
BUSN8181,Financial Reporting and Analysis,,Postgraduate,6,In Person
BUSN2036,Financial Statement Analysis,First Semester,Undergraduate,6,In Person
