code,college,school,areas_of_interest,exam,test_or_quiz,essay_or_report,participation,oral_presentation,max_assessment_weight,max_assessment_type,max_assessment_name,blurb,summary_link,selt_link,title,session,career,units,delivery_type,subject,other,session_list,school_list,college_list,blurb_clean
LAWS8437,"College of Law, Governance and Policy",Law School,"Law, Finance",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"To enrol in this course, you must be studying a; Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or Juris Doctor (MJD) and have completed or be completing five 6100 level LAWS courses and have completed LAWS6203 Corporations Law.; or Master of Financial Management and Law (MFIML) and have completed or be completing LAWS8586 Law and Legal Institutions. You are not able to enrol in this course if you have previously completed LAWS4237 Financial Markets and Takeovers. This course requires students to have completed an Australian or equivalent Undergraduate Law or Postgraduate Law Degree. Students undertaking any ANU College of Law graduate program may apply for this course if they have the required law background. You will need to contact the ANU Law School to request a permission code to enrol in this course.",NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8437_Time_Series_LRN.pdf,Financial Markets and Takeovers,NA,Postgraduate,6,Online or In Person,LAWS,TRUE,,,,"to enrol in this course, you must be studying a; <<program:master of laws>> (mllm) and have completed or be completing laws8586 law and legal institutions; or <<program:graduate certificate of law>> (claw) and have completed or be completing laws8586 law and legal institutions; or juris doctor (mjd) and have completed or be completing five 6100 level laws courses and have completed laws6203 corporations law. ; or <<program:master of financial management and law>> (mfiml) and have completed or be completing laws8586 law and legal institutions. you are not able to enrol in this course if you have previously completed laws4237 financial markets and takeovers. this course requires students to have completed an australian or equivalent undergraduate law or postgraduate law degree. students undertaking any anu college of law graduate program may apply for this course if they have the required law background. you will need to contact the anu law school to request a permission code to enrol in this course"
LAWS4237,"College of Law, Governance and Policy",Law School,"Law, Finance",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must be studying a; Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses and have completed LAWS2203 Corporations Law; or Juris Doctor (MJD) and have completed or be completing five 6100 level LAWS courses and have completed LAWS6203 Corporations Law. You are not able to enrol in this course if you have previously completed LAWS8437 Financial Markets and Takeovers.,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4237_Time_Series_LRN.pdf,Financial Markets and Takeovers,NA,Undergraduate,6,In Person,LAWS,TRUE,,,,to enrol in this course you must be studying a; <<program:bachelor of arts>> (allb) and have completed or be completing five 1000 level laws courses and have completed laws2203 corporations law; or juris doctor (mjd) and have completed or be completing five 6100 level laws courses and have completed laws6203 corporations law. you are not able to enrol in this course if you have previously completed laws8437 financial markets and takeovers
STAT6046,College of Business and Economics,"Rsch Sch of Finance, Actuarial Studies & App Stats","Actuarial Studies, Finance, Statistics",TRUE,TRUE,FALSE,FALSE,FALSE,70,exam,Final Exam,"To enrol in this course, you must have completed STAT7055 or be enrolled in the Master of Statistics, the Master of Actuarial Studies, the Master of Actuarial Practice or the Master of Statistical Data Analysis. Incompatible with STAT2032.",https://programsandcourses.anu.edu.au/course/STAT6046/First%20Semester/3513,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/STAT6046_Time_Series_LRN.pdf,Financial Mathematics,First Semester / Second Semester,Postgraduate,6,In Person,STAT,FALSE,,,,"to enrol in this course, you must have completed stat7055 or be enrolled in the master of statistics, the <<program:master of actuarial studies>> or the <<program:master of statistical data analysis>>. incompatible with stat2032"
STAT2032,College of Business and Economics,"Rsch Sch of Finance, Actuarial Studies & App Stats","Actuarial Studies, Finance, Statistics",TRUE,TRUE,FALSE,FALSE,FALSE,70,exam,Final Exam,To enrol in this course you must have completed STAT1003 or STAT1008.,https://programsandcourses.anu.edu.au/course/STAT2032/First%20Semester/3504,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/STAT2032_Time_Series_LRN.pdf,Financial Mathematics,First Semester / Second Semester,Undergraduate,6,In Person,STAT,FALSE,,,,to enrol in this course you must have completed stat1003 or stat1008
BUSN3008,College of Business and Economics,Research School of Accounting,Accounting,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must have completed BUSN2015,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN3008_Time_Series_LRN.pdf,Financial Reporting By Corporations,NA,Undergraduate,6,In Person,BUSN,TRUE,,,,to enrol in this course you must have completed busn2015
BUSN6008,College of Business and Economics,Research School of Accounting,Accounting,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must have completed BUSN7050. This course is incompatible with BUSN3008 and BUSN7049.,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN6008_Time_Series_LRN.pdf,Financial Reporting By Corporations,NA,Postgraduate,6,In Person,BUSN,TRUE,,,,to enrol in this course you must have completed busn7050. this course is incompatible with busn3008 and busn7049
BUSN8181,College of Business and Economics,Research School of Accounting,"Accounting, Commerce, Management",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"To enrol in this course you must be studying a Master of Business Administration, Master of Business Administration (Advanced), Master of Project Management or Master of Project Management (Advanced). You are not able to enrol in this course if you have completed BUSN7008.",NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN8181_Time_Series_LRN.pdf,Financial Reporting and Analysis,NA,Postgraduate,6,In Person,BUSN,TRUE,,,,"to enrol in this course you must be studying a <<program:master of business administration>>, <<program:master of business administration>>, <<program:master of project management>> or <<program:master of project management>>. you are not able to enrol in this course if you have completed busn7008"
BUSN2036,College of Business and Economics,Research School of Accounting,"Accounting, Commerce",TRUE,TRUE,TRUE,FALSE,FALSE,50,exam,Final Examination,To enrol in this course you must have completed BUSN1001 and FINM1001,https://programsandcourses.anu.edu.au/course/BUSN2036/First%20Semester/2295,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN2036_Time_Series_LRN.pdf,Financial Statement Analysis,First Semester,Undergraduate,6,In Person,BUSN,FALSE,,,,to enrol in this course you must have completed busn1001 and finm1001
BUSN7036,College of Business and Economics,Research School of Accounting,"Accounting, Commerce",TRUE,TRUE,TRUE,FALSE,FALSE,60,exam,Final Exam,To enrol in this course you must have completed BUSN7008. You must have also completed FINM7006 or be currently studying FINM7006. This course is incompatible with BUSN2036.,https://programsandcourses.anu.edu.au/course/BUSN7036/First%20Semester/2294,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN7036_Time_Series_LRN.pdf,Financial Statement Analysis,First Semester,Postgraduate,6,In Person,BUSN,FALSE,,,,to enrol in this course you must have completed busn7008. you must have also completed finm7006 or be currently studying finm7006. this course is incompatible with busn2036
BUSN7008,College of Business and Economics,Research School of Accounting,"Accounting, Commerce, Finance",TRUE,TRUE,FALSE,FALSE,FALSE,65,exam,Final Examination,You are not able to enrol in this course if you have previously completed BUSN1002.,https://programsandcourses.anu.edu.au/course/BUSN7008/First%20Semester/2158,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN7008_Time_Series_LRN.pdf,Financial Statements and Reporting,First Semester / Second Semester,Postgraduate,6,In Person,BUSN,FALSE,,,,you are not able to enrol in this course if you have previously completed busn1002
